country_iso3;neighbor_iso3;neighbor_qid;neighbor_name;country_qid;country;land_km
CAN;USA;Q30;Estados Unidos;Q16;Canadá;
CHE;AUT;Q40;Áustria;Q39;Suíça;
CHE;DEU;Q183;Alemanha;Q39;Suíça;
CHE;FRA;Q142;França;Q39;Suíça;
CHE;ITA;Q38;Itália;Q39;Suíça;
CHE;LIE;Q347;Liechtenstein;Q39;Suíça;
CHL;ARG;Q414;Argentina;Q298;Chile;
CHL;BOL;Q750;Bolívia;Q298;Chile;
CHL;PER;Q419;Peru;Q298;Chile;
CHN;AFG;Q889;Afeganistão;Q148;China;
CHN;BTN;Q917;Butão;Q148;China;
CHN;IND;Q668;Índia;Q148;China;
CHN;JPN;Q17;Japão;Q148;China;
CHN;KAZ;Q232;Cazaquistão;Q148;China;
CHN;KGZ;Q813;Quirguistão;Q148;China;
CHN;KOR;Q884;Coreia do Sul;Q148;China;
CHN;LAO;Q819;Laos;Q148;China;
CHN;MMR;Q836;Myanmar;Q148;China;
CHN;MNG;Q711;Mongólia;Q148;China;
CHN;NPL;Q837;Nepal;Q148;China;
CHN;PAK;Q843;Paquistão;Q148;China;
CHN;PRK;Q423;Coreia do Norte;Q148;China;
CHN;RUS;Q159;Rússia;Q148;China;
CHN;TJK;Q863;Tajiquistão;Q148;China;
CHN;VNM;Q881;Vietname;Q148;China;
CIV;BFA;Q965;Burquina Fasso;Q1008;Costa do Marfim;
CIV;GHA;Q117;Gana;Q1008;Costa do Marfim;
CIV;GIN;Q1006;Guiné;Q1008;Costa do Marfim;
CIV;LBR;Q1014;Libéria;Q1008;Costa do Marfim;
CIV;MLI;Q912;Mali;Q1008;Costa do Marfim;
CMR;CAF;Q929;República Centro-Africana;Q1009;Camarões;
CMR;COG;Q971;República do Congo;Q1009;Camarões;
CMR;GAB;Q1000;Gabão;Q1009;Camarões;
CMR;GNQ;Q983;Guiné Equatorial;Q1009;Camarões;
CMR;NGA;Q1033;Nigéria;Q1009;Camarões;
CMR;TCD;Q657;Chade;Q1009;Camarões;
COD;AGO;Q916;Angola;Q974;República Democrática do Congo;
COD;BDI;Q967;Burundi;Q974;República Democrática do Congo;
COD;CAF;Q929;República Centro-Africana;Q974;República Democrática do Congo;
COD;CMR;Q1009;Camarões;Q974;República Democrática do Congo;
COD;COG;Q971;República do Congo;Q974;República Democrática do Congo;
COD;RWA;Q1037;Ruanda;Q974;República Democrática do Congo;
COD;SDN;Q1049;Sudão;Q974;República Democrática do Congo;
COD;SSD;Q958;Sudão do Sul;Q974;República Democrática do Congo;
COD;TZA;Q924;Tanzânia;Q974;República Democrática do Congo;
COD;UGA;Q1036;Uganda;Q974;República Democrática do Congo;
COD;ZMB;Q953;Zâmbia;Q974;República Democrática do Congo;
COG;AGO;Q916;Angola;Q971;República do Congo;
COG;CAF;Q929;República Centro-Africana;Q971;República do Congo;
COG;CMR;Q1009;Camarões;Q971;República do Congo;
COG;COD;Q974;República Democrática do Congo;Q971;República do Congo;
COG;GAB;Q1000;Gabão;Q971;República do Congo;
COL;BRA;Q155;Brasil;Q739;Colômbia;
COL;ECU;Q736;Equador;Q739;Colômbia;
COL;NIC;Q811;Nicarágua;Q739;Colômbia;
COL;PAN;Q804;Panamá;Q739;Colômbia;
COL;PER;Q419;Peru;Q739;Colômbia;
COL;VEN;Q717;Venezuela;Q739;Colômbia;
COM;FRA;Q142;França;Q970;Comores;
COM;MDG;Q1019;Madagáscar;Q970;Comores;
COM;MOZ;Q1029;Moçambique;Q970;Comores;
COM;SYC;Q1042;Seychelles;Q970;Comores;
COM;TZA;Q924;Tanzânia;Q970;Comores;
CRI;NIC;Q811;Nicarágua;Q800;Costa Rica;
CRI;PAN;Q804;Panamá;Q800;Costa Rica;
CUB;GBR;Q145;Reino Unido;Q241;Cuba;
CUB;USA;Q30;Estados Unidos;Q241;Cuba;
CYP;GBR;Q145;Reino Unido;Q229;Chipre;
CYP;ISR;Q801;Israel;Q229;Chipre;
CYP;TUR;Q43;Turquia;Q229;Chipre;
CZE;AUT;Q40;Áustria;Q213;Chéquia;
CZE;DEU;Q183;Alemanha;Q213;Chéquia;
CZE;POL;Q36;Polónia;Q213;Chéquia;
CZE;SVK;Q214;Eslováquia;Q213;Chéquia;
DEU;AUT;Q40;Áustria;Q183;Alemanha;
DEU;BEL;Q31;Bélgica;Q183;Alemanha;
DEU;CHE;Q39;Suíça;Q183;Alemanha;
DEU;CZE;Q213;Chéquia;Q183;Alemanha;
DEU;DNK;Q35;Dinamarca;Q183;Alemanha;
DEU;FRA;Q142;França;Q183;Alemanha;
DEU;LUX;Q32;Luxemburgo;Q183;Alemanha;
DEU;POL;Q36;Polónia;Q183;Alemanha;
DJI;ERI;Q986;Eritreia;Q977;Djibouti;
DJI;ETH;Q115;Etiópia;Q977;Djibouti;
DJI;SOM;Q1045;Somália;Q977;Djibouti;
DMA;VEN;Q717;Venezuela;Q784;Dominica;
DNK;DEU;Q183;Alemanha;Q35;Dinamarca;
DNK;NOR;Q20;Noruega;Q35;Dinamarca;
DNK;SWE;Q34;Suécia;Q35;Dinamarca;
DOM;HTI;Q790;Haiti;Q786;República Dominicana;
DOM;USA;Q30;Estados Unidos;Q786;República Dominicana;
DOM;VEN;Q717;Venezuela;Q786;República Dominicana;
DZA;ESP;Q29;Espanha;Q262;Argélia;
DZA;ITA;Q38;Itália;Q262;Argélia;
DZA;LBY;Q1016;Líbia;Q262;Argélia;
DZA;MAR;Q1028;Marrocos;Q262;Argélia;
DZA;MLI;Q912;Mali;Q262;Argélia;
DZA;MRT;Q1025;Mauritânia;Q262;Argélia;
DZA;NER;Q1032;Níger;Q262;Argélia;
DZA;TUN;Q948;Tunísia;Q262;Argélia;
ECU;COL;Q739;Colômbia;Q736;Equador;
ECU;PER;Q419;Peru;Q736;Equador;
EGY;ISR;Q801;Israel;Q79;Egito;
EGY;LBY;Q1016;Líbia;Q79;Egito;
EGY;PSE;Q219060;Estado da Palestina;Q79;Egito;
EGY;SDN;Q1049;Sudão;Q79;Egito;
ERI;DJI;Q977;Djibouti;Q986;Eritreia;
ERI;ETH;Q115;Etiópia;Q986;Eritreia;
ERI;SDN;Q1049;Sudão;Q986;Eritreia;
ESP;AND;Q228;Andorra;Q29;Espanha;
ESP;FRA;Q142;França;Q29;Espanha;
ESP;GIB;Q1410;Gibraltar;Q29;Espanha;
ESP;MAR;Q1028;Marrocos;Q29;Espanha;
ESP;PRT;Q45;Portugal;Q29;Espanha;
EST;LVA;Q211;Letónia;Q191;Estónia;
EST;RUS;Q159;Rússia;Q191;Estónia;
ETH;DJI;Q977;Djibouti;Q115;Etiópia;
ETH;ERI;Q986;Eritreia;Q115;Etiópia;
ETH;KEN;Q114;Quénia;Q115;Etiópia;
ETH;SDN;Q1049;Sudão;Q115;Etiópia;
ETH;SOM;Q1045;Somália;Q115;Etiópia;
ETH;SSD;Q958;Sudão do Sul;Q115;Etiópia;
FIN;NOR;Q20;Noruega;Q33;Finlândia;
FIN;RUS;Q159;Rússia;Q33;Finlândia;
FIN;SWE;Q34;Suécia;Q33;Finlândia;
FJI;SLB;Q685;Ilhas Salomão;Q712;Fiji;
FRA;AND;Q228;Andorra;Q142;França;
FRA;BEL;Q31;Bélgica;Q142;França;
FRA;BRA;Q155;Brasil;Q142;França;
FRA;CHE;Q39;Suíça;Q142;França;
FRA;DEU;Q183;Alemanha;Q142;França;
FRA;ESP;Q29;Espanha;Q142;França;
FRA;ITA;Q38;Itália;Q142;França;
FRA;LUX;Q32;Luxemburgo;Q142;França;
FRA;MCO;Q235;Mónaco;Q142;França;
FRA;NLD;Q29999;Reino dos Países Baixos;Q142;França;
FRA;SUR;Q730;Suriname;Q142;França;
FRO;ISL;Q189;Islândia;Q4628;Ilhas Feroe;
FSM;PLW;Q695;Palau;Q702;Micronésia;
FSM;PNG;Q691;Papua-Nova Guiné;Q702;Micronésia;
FSM;USA;Q30;Estados Unidos;Q702;Micronésia;
GAB;AGO;Q916;Angola;Q1000;Gabão;
GAB;CMR;Q1009;Camarões;Q1000;Gabão;
GAB;COG;Q971;República do Congo;Q1000;Gabão;
GAB;GNQ;Q983;Guiné Equatorial;Q1000;Gabão;
GAB;STP;Q1039;São Tomé e Príncipe;Q1000;Gabão;
GBR;IRL;Q27;República da Irlanda;Q145;Reino Unido;
GEO;ARM;Q399;Arménia;Q230;Geórgia;
GEO;AZE;Q227;Azerbaijão;Q230;Geórgia;
GEO;RUS;Q159;Rússia;Q230;Geórgia;
GEO;TUR;Q43;Turquia;Q230;Geórgia;
GHA;BFA;Q965;Burquina Fasso;Q117;Gana;
GHA;CIV;Q1008;Costa do Marfim;Q117;Gana;
GHA;TGO;Q945;Togo;Q117;Gana;
GIB;ESP;Q29;Espanha;Q1410;Gibraltar;
GIN;CIV;Q1008;Costa do Marfim;Q1006;Guiné;
GIN;GNB;Q1007;Guiné-Bissau;Q1006;Guiné;
GIN;LBR;Q1014;Libéria;Q1006;Guiné;
GIN;MLI;Q912;Mali;Q1006;Guiné;
GIN;SEN;Q1041;Senegal;Q1006;Guiné;
GIN;SLE;Q1044;Serra Leoa;Q1006;Guiné;
GMB;SEN;Q1041;Senegal;Q1005;Gâmbia;
GNB;GIN;Q1006;Guiné;Q1007;Guiné-Bissau;
GNB;SEN;Q1041;Senegal;Q1007;Guiné-Bissau;
GNQ;CMR;Q1009;Camarões;Q983;Guiné Equatorial;
GNQ;GAB;Q1000;Gabão;Q983;Guiné Equatorial;
GRC;ALB;Q222;Albânia;Q41;Grécia;
GRC;BGR;Q219;Bulgária;Q41;Grécia;
GRC;MKD;Q221;Macedónia do Norte;Q41;Grécia;
GRC;TUR;Q43;Turquia;Q41;Grécia;
GRD;VEN;Q717;Venezuela;Q769;Granada;
GRL;CAN;Q16;Canadá;Q223;Gronelândia;
GRL;ISL;Q189;Islândia;Q223;Gronelândia;
GRL;NOR;Q20;Noruega;Q223;Gronelândia;
GTM;BLZ;Q242;Belize;Q774;Guatemala;
GTM;HND;Q783;Honduras;Q774;Guatemala;
GTM;MEX;Q96;México;Q774;Guatemala;
GTM;SLV;Q792;El Salvador;Q774;Guatemala;
GUY;BRA;Q155;Brasil;Q734;Guiana;
GUY;SUR;Q730;Suriname;Q734;Guiana;
GUY;VEN;Q717;Venezuela;Q734;Guiana;
HND;GTM;Q774;Guatemala;Q783;Honduras;
HND;NIC;Q811;Nicarágua;Q783;Honduras;
HND;SLV;Q792;El Salvador;Q783;Honduras;
HRV;BIH;Q225;Bósnia e Herzegovina;Q224;Croácia;
HRV;HUN;Q28;Hungria;Q224;Croácia;
HRV;MNE;Q236;Montenegro;Q224;Croácia;
HRV;SRB;Q403;Sérvia;Q224;Croácia;
HRV;SVN;Q215;Eslovénia;Q224;Croácia;
HTI;DOM;Q786;República Dominicana;Q790;Haiti;
HTI;USA;Q30;Estados Unidos;Q790;Haiti;
HUN;AUT;Q40;Áustria;Q28;Hungria;
HUN;HRV;Q224;Croácia;Q28;Hungria;
HUN;ROU;Q218;Roménia;Q28;Hungria;
HUN;SRB;Q403;Sérvia;Q28;Hungria;
HUN;SVK;Q214;Eslováquia;Q28;Hungria;
HUN;SVN;Q215;Eslovénia;Q28;Hungria;
HUN;UKR;Q212;Ucrânia;Q28;Hungria;
IDN;AUS;Q408;Austrália;Q252;Indonésia;
IDN;IND;Q668;Índia;Q252;Indonésia;
IDN;MYS;Q833;Malásia;Q252;Indonésia;
IDN;PHL;Q928;Filipinas;Q252;Indonésia;
IDN;PLW;Q695;Palau;Q252;Indonésia;
IDN;PNG;Q691;Papua-Nova Guiné;Q252;Indonésia;
IDN;SGP;Q334;Singapura;Q252;Indonésia;
IDN;THA;Q869;Tailândia;Q252;Indonésia;
IDN;TLS;Q574;Timor-Leste;Q252;Indonésia;
IDN;VNM;Q881;Vietname;Q252;Indonésia;
IND;AFG;Q889;Afeganistão;Q668;Índia;
IND;BGD;Q902;Bangladesh;Q668;Índia;
IND;BTN;Q917;Butão;Q668;Índia;
IND;CHN;Q148;China;Q668;Índia;
IND;IDN;Q252;Indonésia;Q668;Índia;
IND;LKA;Q854;Sri Lanka;Q668;Índia;
IND;MMR;Q836;Myanmar;Q668;Índia;
IND;NPL;Q837;Nepal;Q668;Índia;
IND;PAK;Q843;Paquistão;Q668;Índia;
IRL;GBR;Q145;Reino Unido;Q27;República da Irlanda;
IRN;AFG;Q889;Afeganistão;Q794;Irão;
IRN;ARE;Q878;Emirados Árabes Unidos;Q794;Irão;
IRN;ARM;Q399;Arménia;Q794;Irão;
IRN;AZE;Q227;Azerbaijão;Q794;Irão;
IRN;BHR;Q398;Bahrein;Q794;Irão;
IRN;IRQ;Q796;Iraque;Q794;Irão;
IRN;KWT;Q817;Kuwait;Q794;Irão;
IRN;OMN;Q842;Omã;Q794;Irão;
IRN;PAK;Q843;Paquistão;Q794;Irão;
IRN;QAT;Q846;Catar;Q794;Irão;
IRN;SAU;Q851;Arábia Saudita;Q794;Irão;
IRN;TKM;Q874;Turquemenistão;Q794;Irão;
IRN;TUR;Q43;Turquia;Q794;Irão;
IRQ;IRN;Q794;Irão;Q796;Iraque;
IRQ;JOR;Q810;Jordânia;Q796;Iraque;
IRQ;KWT;Q817;Kuwait;Q796;Iraque;
IRQ;SAU;Q851;Arábia Saudita;Q796;Iraque;
IRQ;SYR;Q858;Síria;Q796;Iraque;
IRQ;TUR;Q43;Turquia;Q796;Iraque;
ISL;FRO;Q4628;Ilhas Feroe;Q189;Islândia;
ISL;GRL;Q223;Gronelândia;Q189;Islândia;
ISR;EGY;Q79;Egito;Q801;Israel;
ISR;JOR;Q810;Jordânia;Q801;Israel;
ISR;LBN;Q822;Líbano;Q801;Israel;
ISR;SYR;Q858;Síria;Q801;Israel;
ITA;AUT;Q40;Áustria;Q38;Itália;
ITA;CHE;Q39;Suíça;Q38;Itália;
ITA;FRA;Q142;França;Q38;Itália;
ITA;MLT;Q233;Malta;Q38;Itália;
ITA;SMR;Q238;San Marino;Q38;Itália;
ITA;SVN;Q215;Eslovénia;Q38;Itália;
ITA;VAT;Q237;Vaticano;Q38;Itália;
JAM;GBR;Q145;Reino Unido;Q766;Jamaica;
JOR;IRQ;Q796;Iraque;Q810;Jordânia;
JOR;ISR;Q801;Israel;Q810;Jordânia;
JOR;PSE;Q219060;Estado da Palestina;Q810;Jordânia;
JOR;SAU;Q851;Arábia Saudita;Q810;Jordânia;
JOR;SYR;Q858;Síria;Q810;Jordânia;
JPN;CHN;Q148;China;Q17;Japão;
JPN;KOR;Q884;Coreia do Sul;Q17;Japão;
JPN;PHL;Q928;Filipinas;Q17;Japão;
JPN;RUS;Q159;Rússia;Q17;Japão;
JPN;TWN;Q865;Taiwan;Q17;Japão;
JPN;USA;Q30;Estados Unidos;Q17;Japão;
KAZ;CHN;Q148;China;Q232;Cazaquistão;
KAZ;KGZ;Q813;Quirguistão;Q232;Cazaquistão;
KAZ;RUS;Q159;Rússia;Q232;Cazaquistão;
KAZ;TKM;Q874;Turquemenistão;Q232;Cazaquistão;
KAZ;UZB;Q265;Uzbequistão;Q232;Cazaquistão;
KEN;ETH;Q115;Etiópia;Q114;Quénia;
KEN;SDN;Q1049;Sudão;Q114;Quénia;
KEN;SOM;Q1045;Somália;Q114;Quénia;
KEN;SSD;Q958;Sudão do Sul;Q114;Quénia;
KEN;TZA;Q924;Tanzânia;Q114;Quénia;
KEN;UGA;Q1036;Uganda;Q114;Quénia;
KGZ;CHN;Q148;China;Q813;Quirguistão;
KGZ;KAZ;Q232;Cazaquistão;Q813;Quirguistão;
KGZ;TJK;Q863;Tajiquistão;Q813;Quirguistão;
KGZ;UZB;Q265;Uzbequistão;Q813;Quirguistão;
KHM;LAO;Q819;Laos;Q424;Camboja;
KHM;THA;Q869;Tailândia;Q424;Camboja;
KHM;VNM;Q881;Vietname;Q424;Camboja;
KIR;FRA;Q142;França;Q710;Kiribati;
KIR;USA;Q30;Estados Unidos;Q710;Kiribati;
KNA;GBR;Q145;Reino Unido;Q763;São Cristóvão e Neves;
KNA;VEN;Q717;Venezuela;Q763;São Cristóvão e Neves;
KOR;CHN;Q148;China;Q884;Coreia do Sul;
KOR;JPN;Q17;Japão;Q884;Coreia do Sul;
KOR;PRK;Q423;Coreia do Norte;Q884;Coreia do Sul;
KWT;IRN;Q794;Irão;Q817;Kuwait;
KWT;IRQ;Q796;Iraque;Q817;Kuwait;
KWT;SAU;Q851;Arábia Saudita;Q817;Kuwait;
LAO;CHN;Q148;China;Q819;Laos;
LAO;KHM;Q424;Camboja;Q819;Laos;
LAO;MMR;Q836;Myanmar;Q819;Laos;
LAO;THA;Q869;Tailândia;Q819;Laos;
LAO;VNM;Q881;Vietname;Q819;Laos;
LBN;ISR;Q801;Israel;Q822;Líbano;
LBN;SYR;Q858;Síria;Q822;Líbano;
LBR;CIV;Q1008;Costa do Marfim;Q1014;Libéria;
LBR;GIN;Q1006;Guiné;Q1014;Libéria;
LBR;SLE;Q1044;Serra Leoa;Q1014;Libéria;
LBY;DZA;Q262;Argélia;Q1016;Líbia;
LBY;EGY;Q79;Egito;Q1016;Líbia;
LBY;NER;Q1032;Níger;Q1016;Líbia;
LBY;SDN;Q1049;Sudão;Q1016;Líbia;
LBY;TCD;Q657;Chade;Q1016;Líbia;
LBY;TUN;Q948;Tunísia;Q1016;Líbia;
LCA;VEN;Q717;Venezuela;Q760;Santa Lúcia;
LIE;AUT;Q40;Áustria;Q347;Liechtenstein;
LIE;CHE;Q39;Suíça;Q347;Liechtenstein;
LKA;IND;Q668;Índia;Q854;Sri Lanka;
LSO;ZAF;Q258;África do Sul;Q1013;Lesoto;
LTU;BLR;Q184;Bielorrússia;Q37;Lituânia;
LTU;LVA;Q211;Letónia;Q37;Lituânia;
LTU;POL;Q36;Polónia;Q37;Lituânia;
LTU;RUS;Q159;Rússia;Q37;Lituânia;
LTU;SWE;Q34;Suécia;Q37;Lituânia;
LUX;BEL;Q31;Bélgica;Q32;Luxemburgo;
LUX;DEU;Q183;Alemanha;Q32;Luxemburgo;
LUX;FRA;Q142;França;Q32;Luxemburgo;
LVA;BLR;Q184;Bielorrússia;Q211;Letónia;
LVA;EST;Q191;Estónia;Q211;Letónia;
LVA;LTU;Q37;Lituânia;Q211;Letónia;
LVA;RUS;Q159;Rússia;Q211;Letónia;
LVA;SWE;Q34;Suécia;Q211;Letónia;
MAR;DZA;Q262;Argélia;Q1028;Marrocos;
MAR;ESP;Q29;Espanha;Q1028;Marrocos;
MCO;FRA;Q142;França;Q235;Mónaco;
MDA;ROU;Q218;Roménia;Q217;Moldávia;
MDA;UKR;Q212;Ucrânia;Q217;Moldávia;
MDG;COM;Q970;Comores;Q1019;Madagáscar;
MDG;FRA;Q142;França;Q1019;Madagáscar;
MDG;MOZ;Q1029;Moçambique;Q1019;Madagáscar;
MDG;SYC;Q1042;Seychelles;Q1019;Madagáscar;
MDV;GBR;Q145;Reino Unido;Q826;Maldivas;
MEX;BLZ;Q242;Belize;Q96;México;
MEX;GTM;Q774;Guatemala;Q96;México;
MEX;USA;Q30;Estados Unidos;Q96;México;
MHL;FSM;Q702;Micronésia;Q709;Ilhas Marshall;
MHL;KIR;Q710;Kiribati;Q709;Ilhas Marshall;
MHL;NRU;Q697;Nauru;Q709;Ilhas Marshall;
MHL;USA;Q30;Estados Unidos;Q709;Ilhas Marshall;
MKD;ALB;Q222;Albânia;Q221;Macedónia do Norte;
MKD;BGR;Q219;Bulgária;Q221;Macedónia do Norte;
MKD;GRC;Q41;Grécia;Q221;Macedónia do Norte;
MKD;SRB;Q403;Sérvia;Q221;Macedónia do Norte;
MLI;BFA;Q965;Burquina Fasso;Q912;Mali;
MLI;CIV;Q1008;Costa do Marfim;Q912;Mali;
MLI;DZA;Q262;Argélia;Q912;Mali;
MLI;GIN;Q1006;Guiné;Q912;Mali;
MLI;MRT;Q1025;Mauritânia;Q912;Mali;
MLI;NER;Q1032;Níger;Q912;Mali;
MLI;SEN;Q1041;Senegal;Q912;Mali;
MLT;ITA;Q38;Itália;Q233;Malta;
MMR;BGD;Q902;Bangladesh;Q836;Myanmar;
MMR;CHN;Q148;China;Q836;Myanmar;
MMR;IND;Q668;Índia;Q836;Myanmar;
MMR;LAO;Q819;Laos;Q836;Myanmar;
MMR;THA;Q869;Tailândia;Q836;Myanmar;
MNE;ALB;Q222;Albânia;Q236;Montenegro;
MNE;BIH;Q225;Bósnia e Herzegovina;Q236;Montenegro;
MNE;HRV;Q224;Croácia;Q236;Montenegro;
MNE;SRB;Q403;Sérvia;Q236;Montenegro;
MNG;CHN;Q148;China;Q711;Mongólia;
MNG;RUS;Q159;Rússia;Q711;Mongólia;
MOZ;COM;Q970;Comores;Q1029;Moçambique;
MOZ;MWI;Q1020;Malawi;Q1029;Moçambique;
MOZ;SWZ;Q1050;Essuatíni;Q1029;Moçambique;
MOZ;TZA;Q924;Tanzânia;Q1029;Moçambique;
MOZ;ZAF;Q258;África do Sul;Q1029;Moçambique;
