qid;label
Q1075565;Battles of Beleriand
Q2630136;battles of Osgiliath during the War of the Ring
Q18370757;battles of the Fellowship of the Ring
Q3637155;beach wrestling
Q11656574;bear fighting
Q2041094;Bear-baiting
Q131765225;Beit Sahour tax strike
Q815747;Bell X-9 Shrike
Q2093039;Belt-and-jacket
Q4886918;bench-clearing brawl
Q4903270;Biblical Unitarianism
Q5728153;Bici Crítica of Madrid
Q1971764;Big boot
Q11656589;bird fighting
Q119061362;bird song competition
Q3394581;black operation
Q43305506;black operations of CIA
Q122694725;Blacklist Campaign
Q12195269;bloodless coup d'état
Q4927953;bloodless war
Q273976;bloqueio
Q1959141;bloqueio naval
Q774960;Blowpipe
Q48810523;Boar-baiting
Q4931439;boardroom coup
Q120197854;Boateng v. National Media Commission and Another
Q9182943;bój
Q4939425;Boli Khela
Q2380335;bombardeamento aéreo
Q17912683;Bombardeamento aéreo
Q4688003;bombardeamento aéreo de uma cidade
Q15212263;Bombardeamento de Berlim
Q841418;bombardeio estratégico
Q1422289;bombardeio tático
Q715695;Bombardeios estratégicos durante a Segunda Guerra Mundial
Q678146;bombardment
Q107637520;border conflict
Q42750320;border incident
Q22944244;borroka
Q107238090;botched military raid
Q188257;bottom procedure
Q895266;Bous a la mar
Q898242;Brandschatten
Q1709241;brawling
Q6857782;British military operations other than war
Q11545912;buke-ryō
Q812983;bull-baiting
Q20107343;Bullangues
Q3001425;bullfighting festival
Q19844197;bullfighting in New Spain
Q32024778;Bullfighting in the Community of Madrid
Q4997163;Bultong
Q1670655;Bundeswehr Panzertruppen
Q4997896;Buno
Q131702251;BYD Slavery-Like Conditions Controversy in Brazil
Q60846342;CA-94
Q109595168;calf slicer
Q5026800;camisado
Q2935206;Camp for Climate Action
Q831663;campanha militar
Q65061153;campus protest
Q1715416;Canarian wrestling
Q2937260;Capea
Q90573599;Capeas de Segura de León
Q18480501;Capeia arraiana
Q88456792;Capelado
Q2126793;CARAT
Q838364;carpet bombing
Q5046123;carriage dispute
Q1045072;carrier onboard delivery
Q907950;case
Q13513031;Case Dutroux
Q129837193;case filed at administrative authorities in mainland China
Q133274088;Cases filed in courts in Beijing
Q133441595;Cases filed with police of mainland China
Q133441065;cases from mainland China
Q106179662;Casino Battle Royale
Q2055205;caso arquivado
Q21044347;Caso corpesca
Q16738832;caso criminal
Q16057981;Caso de aborto de menina brasileira em 2009
Q749501;Caso Plame-Wilson
Q5050921;casualty evacuation
Q18482565;Catástrofe demográfica
Q2408025;catch wrestling
Q616762;catfight
Q5053315;Catholic Church sexual abuse cases in France
Q3210851;Catholic sexual abuse cases in Canada
Q2823677;cause of action
Q5392931;cavalry raid
Q112765787;central trial
Q1110236;Centro de gravidade (militar)
Q188055;cerco
Q2337039;channel conflict
Q30637971;Chanter v Blackwood
Q172336;chave de braço
Q4380025;Chave de braço
Q615518;Chegas de Touros
Q25696027;Chelishish
Q118930816;chemical/biological warfare
Q1070938;Chevauchée
Q4515707;Chidaoba
Q111207998;Chidaoba
Q109041057;Child sexual abuse in the diocese of Luçon
Q95252032;child sexual abuse scandal
Q6857776;Chinese military operations other than war
Q4499038;Cholera Riots
Q118072761;Christomonism
Q5116922;Church of Jesus Christ Restored 1830
Q7497152;Chute na canela
Q7988539;CIA Tibetan program
Q849340;ciberguerra
Q781894;CIM-10 Bomarc
Q41521;cisma
Q65083733;cisma
Q126325378;cisma do Islã
Q126287984;cisma religioso
Q127512667;civil conflict
Q133467586;civil dispute
Q133467577;Civil disputes in mainland China
Q10706788;civil matter
Q107614552;claim for restitution of an artwork
Q3354903;clandestine operation
Q79084310;clash
Q2783852;class action
Q11659309;Class actions
Q116004037;climate protest
Q122955400;climate strike
Q130704399;coal strike
Q123593345;cognitive warfare
Q21971240;Cold War Europe
Q108392871;Cold War in Asia
Q3682694;Collar-and-elbow
Q136486544;collective grievance
Q5146995;collegiate wrestling
Q104872632;Colonialism and genocide
Q1047607;Colonização espanhola da América
Q16271678;Colos
Q2164772;combat air patrol
Q681969;Combat de Reines
Q1696856;Combat reenactment
Q11303148;Combat Wrestling
Q650711;combate
Q15041854;Combate aproximado
Q602507;combate corpo a corpo
Q1102423;combate em ambientes confinados
Q1505845;Comboios do Ártico
Q19609158;comício
Q25810859;command post exercise
Q986676;commerce raiding
Q5153280;Common Anti-Air Modular Missile
Q131621892;commune
Q2379628;communication with submarines
Q27791637;Communist insurgency in the Philippines
Q2614462;company campaigning
Q22084970;concerns and controversies at the 2020 Summer Olympics
Q108570112;concerns and controversies at the 2020 Summer Paralympics
Q101142288;conflict incident
Q5160197;Conflict of marriage laws
Q5683226;conflito ambiental
Q16146546;Conflito civil nas Filipinas
Q2912528;conflito comercial
Q14395607;conflito congelado
Q5193269;conflito cultural
Q369799;conflito de baixa intensidade
Q766875;conflito étnico
Q105071637;conflito fundiário
Q5153967;Conflito intercomunitário
Q1502007;conflito intergeracional
Q1334080;Conflito Pais-Filhos
Q2870014;Conflito sectário no Iraque
Q2672648;conflito social
Q8035179;Conflitos entre trabalho e família
Q9848046;Conflitos na Indonésia
Q1136021;Confrontos fronteiriços entre Bangladesh e Índia em 2001
Q1361229;Conquista militar
Q1374897;consumer boycott
Q6024878;consumer revolt
Q122889179;consumer rights controversy
Q105499756;contempt of court proceedings
Q10080014;Contestador fiscal
Q17144660;Contra ofensiva do ar
Q2329143;contra-ataque
Q125956566;Contragolpe
Q1255828;controvérsia
Q545170;"Controvérsia ""Garotos são estúpidos, joguem pedras neles!"""
Q122584592;Controvérsia filosófica
Q19396147;controversial invention
Q300945;Controvérsias de South Park
Q5111484;Controvérsias do Natal
Q2033227;Controvérsias em torno de Mortal Kombat
Q123685131;controvérsias envolvendo a Nestlé
Q23037921;controvérsias envolvendo a psiquiatria
Q2575667;controvérsias sobre os ogm
Q50377401;controversies of Xi Jinping
Q1044852;controversies surrounding Call of Duty: Modern Warfare 2
Q121815942;controversies surrounding Genshin Impact
Q5165996;controversies surrounding Grand Theft Auto IV
Q19867757;controversies surrounding Grand Theft Auto V
Q115868941;controversies surrounding the Saudi Arabian Grand Prix
Q112663;Controversies surrounding Yasukuni Shrine
Q118118221;controversy between Lunar New Year and Chinese New Year
Q84056433;controversy surrounding the 2019–20 Wuhan coronavirus outbreak
Q107304919;Coors strike and boycott
Q123550907;copyright legal case
Q60963472;cordão sanitário
Q4354339;Cornish wrestling
Q1770766;Correbous
Q2997943;corrida de rejón
Q1778149;Corsa camarguenca
Q3773159;Cosmologia Mórmon
Q5175752;Cotton diplomacy
Q81859300;counter-celebration
Q58815974;counter-demonstration
Q5176896;counter-offensive
Q5176895;counter-protest
Q1047367;counter-terrorist operation
Q4231697;counterattack
Q109471870;country in World War I
Q109473326;country in World War II
Q5177950;county seat war
Q1418066;Coup de main
Q135557561;Coupvolution
Q830090;Course landaise
Q114148658;Cradle Suplex
Q5185258;crime control
Q1266971;Crime de pensamento
Q16667597;Crimean–Circassian wars
Q4249087;criminal cases against supporters of Yulia Tymoshenko
Q60845736;criminal law case
Q146071;criminal procedure
Q5791104;crise diplomática
Q15857791;crisis of conscience
Q94588406;Critical Mass Barcelona
Q107635454;Critical Mass Berlin
Q107636079;Critical Mass Cologne
Q87412854;Critical Mass Hamburg
Q12322991;critical psychiatry
Q10262032;Críticas à doutrina da Trindade
Q21213422;Criticism of SpongeBob SquarePants
Q21213326;Criticism of The Simpsons
Q94590779;Criticona
Q111165597;Crusades against Christians
Q115898880;Crusades against vice
Q12546;Cruzada
Q48734726;Cruzadas populares
Q79083864;cultural clash
Q3123011;cultural genocide
Q5193986;Cumberland and Westmorland wrestling
Q10718812;custody dispute
Q5196413;Customary freehold
Q101239385;customs war
Q5197745;Cyber electronic warfare
Q108864859;cyberwarfare and China
Q5197870;cyberwarfare by Russia
Q85755065;DARVO
Q12540032;Daw
Q24887818;death match
Q25091704;Death penalty for Homosexuality
Q1344887;Decapitação (estratégia militar)
Q19930933;decision of the Supreme Court of Canada
Q96482904;decision of the Supreme Court of Sweden
Q129836865;Decisive documents by administrative reconsideration authorities
Q11552344;decisive warfare
Q121423280;deditio
Q9385839;deep cavalry raid
Q374696;Defenestrações de Praga
Q111114562;Defensive Counter Air
Q2518545;defensive war
Q5251508;deferred prosecution
Q843941;defesa antiaérea
Q5255065;demarcation dispute
Q5255897;democratic revolution
Q11547167;denka no watariryō
Q5259397;dental amalgam controversy
Q112651297;deportation of Jews
Q1191628;deportation of Jews from Germany
Q20053673;Desafio - Jiu Jitsu vs Luta Livre
Q3024254;Descabello
Q1182852;desert warfare
Q1345044;Desminagem
Q47217;desobediência civil
Q686984;Desordem civil
Q1929372;desporto sangrento
Q5267797;Devon wrestling
Q11555358;dharma discussion
Q16968855;Dharna
Q133802592;discurso de protesto
Q2447975;Disputa
Q1123131;disputa
Q1078001;disputa territorial
Q2912496;Disputas cristológicas
Q2405450;Disputas territoriais no mar da China Meridional
Q133859378;disputed territories of India
Q133819846;Disputes in China
Q133819844;Disputes in mainland China
Q124757;distúrbio
Q50433857;dive bombing
Q104842164;DK-10
Q20076359;Dnipro (anti-air missile)
Q207674;Docetismo
Q130259300;doctors' strike
Q133460191;documents authored by administrative reconsideration authorities
Q830494;Dogfight
Q110573458;Donald Trump rally
Q3308329;donkey vote
Q5296218;donkey-baiting
Q136443614;dopaminergic mismatch
Q109342426;Douyin-related controversies
Q328475;dragnet
Q77597785;drug war
Q5311414;duck-baiting
Q191503;duelo
Q444694;Dumog
Q2905670;Dúvida razoável
Q2525814;early modern warfare
Q4530410;economic blockade
Q19710363;Economic Information Warfare
Q764327;edit war
Q109591810;egg fried rice protests
Q21886655;El tren de la libertad
Q5358340;electronic civil disobedience
Q125888468;electronic warfare training
Q61357727;Elephant duel
Q111951768;Elevator Strikes
Q989265;embargo
Q4793859;embargo de armas
Q680838;emboscada
Q2992546;emotional conflict
Q1160214;Encierro
Q104519344;Encierros de Guadalajara
Q124329045;enemy base attack ability
Q48767773;Engajamento militar
Q2832578;Engano militar
Q5378545;English feudal barony
Q16192025;Ensinos católicos sobre heresia
Q902927;entomological warfare
Q116004036;environmental protest
Q1124012;erro judicial
Q192909;escândalo
Q21996358;escândalo corporativo
Q18343076;escândalo de corrupção
Q70152878;escândalo desportivo
Q3107784;escândalo jornalístico
Q934744;escândalo político
Q997267;escaramuça
Q5945014;Esgrima crioula
Q1967324;esquizofrenia progressiva
Q472298;Estados Unidos vs. La Amistad
Q706243;Estatuto da República da China
Q3059026;Estocada
Q130307730;Ethically disputed business practices
Q3588250;ethnic riot
Q1371470;etnocídio
Q63088843;EU Capacity Building Mission
Q16467788;EU mission
Q699417;EUFOR
Q63088922;European Union Advisory Mission
Q63088829;European Union Border Assistance Mission
Q63088967;European Union Integrated Rule of Law Missio
Q63088929;European Union Naval Forces
Q63088934;European Union Police Mission
Q1276245;European Union Rule of Law Mission
Q63088946;European Union security sector reform mission
Q29913079;European Union Training Mission
Q261985;Evala
Q8038643;execução injusta
Q357104;exercício militar
Q16935379;Exercise Able Archer
Q45311815;Exercise Bersama Lima
Q45311841;Exercise Bersama Shield
Q45386330;Exercise Cooperation Spirit
Q28406203;Exercise Croix du Sud
Q129254874;Exercise Garuda
Q3108944;Exercise Global Guardian
Q109535947;Exercise Green Dagger
Q45385407;Exercise Lightning Focus
Q5420038;Exercise Pitch Black
Q101583461;Exercise Slavic Brotherhood
Q133836565;Exercise Southern Jackaroo
Q45333534;Exercise Southern Tiger
Q5420046;Exercise Talisman Sabre
Q129254754;Exercise Tarang Shakti
Q2509088;Exercise Valiant Shield
Q20711462;Exhibition fight
Q582956;expedição punitiva
Q39086821;explosão de críticas
Q1428579;Exportação da revolução
Q878794;expulsions and exoduses of Jews
Q1609633;extraction
Q1549399;Extraterrestrial real estate
Q124828395;faction fighting
Q4038589;Fairey Stooge
Q5432397;Falling on a grenade
Q55492423;family conflict
Q3740152;Fatti di Innsbruck
Q5438161;fault line war
Q10280357;Favelas na cidade de São Paulo
Q8960966;Favelas na cidade do Rio de Janeiro
Q693827;favelas no brasil
Q130631678;Federal Court of Australia case
Q21978021;federal war
Q125870673;feint
Q22124045;Feminist Self Defense
Q123310602;ferret mission
Q16836659;feudal land tenure in England
Q632475;Feuerlilie
Q125887683;fictional armed conflict
Q15707521;fictional battle
Q125887753;fictional military action or armed conflict
Q125889355;fictional violent conflict
Q17198419;fictional war
Q1714297;field training exercise
Q107504166;fifth-generation warfare
Q5447880;Fighting Cholitas
Q132167738;Fighting of the Ocean Coast Army rally
Q1388613;FIM-43 Redeye
Q223697;FIM-92 Stinger
Q3072784;fireforce
Q11396575;first battle
Q1208337;first strike
Q133274127;First-instance court cases in mainland China
Q12050454;fish fight
Q27031692;fist fight
Q70998750;fist-fighting
Q1984664;fizzle
Q5426001;FJ ABM
Q10282703;Flak
Q3073511;Fleet Problems
Q3275749;fleet review
Q704383;Fliegerfaust
Q28733268;Fliegerfaust
Q136384550;flotilla
Q1517239;FN-6
Q5463796;Foal Eagle
Q1303061;fogo amigo
Q5465517;food riot
Q8564321;Food riots in the Middle East
Q1671228;food scandal
Q5467543;forced sale
Q23021792;forced sterilization of the deaf
Q28456918;foreign electoral intervention
Q23015264;Foreign missions of the Czech Air Force
Q100332920;forest walk
Q2976102;fourth-generation warfare
Q5476832;Fox News controversies
Q5490609;frankalmoin
Q5500839;freedom suit
Q2665700;French nuclear tests
Q842332;frente de batalha
Q60674974;Fridays for Future
Q111364530;Fridays for Future Russia
Q104245439;Fridays for Future Sweden
Q111364537;Fridays for Future Ukraine
Q5504094;friendly suit
Q637160;Frisian participation in the Crusades
Q11456124;Fuji Firepower Review
Q64158;Funda de Davi
Q965093;Fundamentalismo Mórmon
Q4493460;Funryu
Q10288113;Galhofa
Q116196470;garbage collectors' strike
Q108167241;Gatta gusthi
Q5962003;Gauntlet
Q2416571;gekokujō
Q12018141;general attack
Q9266805;general battle
Q4122592;generations of warfare
Q123660539;genocide committed by Russia
Q135455936;Genocides in history
Q41397;genocídio
Q5533462;genocídio dos povos indígenas
Q108733451;Genocídio indígena nos Estados Unidos
Q113165548;genocídio transgénero
Q17029088;Genocídio utilitário
Q104901608;Genocídios otomanos tardios
Q12018162;geophysical warfare
Q96379411;German Intercept Station Operations during World War II
Q106223176;ghazawat
Q6000336;ghazwa
Q4137764;Ghetto Liubča
Q16914253;ghettoization and deportation of the Hungarian rural Jewry
Q124963252;Ghost town day
Q11972165;gladiator games
Q23580679;GMO conspiracy theories
Q131293533;Gollion witchcraft trials
Q10290435;golpe branco
Q45382;golpe de Estado
Q3449092;golpe militar
Q8964625;golpe palaciano
Q8964629;Golpes de Estado na Venezuela
Q1546073;Golpismo
Q19863859;Google litigation
Q11489110;goryōsho
Q3088619;Gouren
Q5588655;government-organized demonstration
Q130318015;goyesca bullfighting of Ronda
Q2997942;goyesca-style bullfighting
Q18609332;grand jury hearing
Q5596010;Grannygate
Q906297;grappling
Q49776;greve
Q3118387;greve de sexo
Q49775;greve geral
Q1198713;greve selvagem
Q54866660;Greves dos trabalhadores da educação nos Estados Unidos em 2018–2019
Q2337859;Grom
Q19254021;Ground-Based Interceptor
Q1140599;Ground-Based Midcourse Defense
Q5610846;ground-controlled interception
Q17091170;group conflict
Q113303442;grypomachy
Q1487366;GTR-18 Smokey SAM
Q12786121;guerra
Q471145;guerra aérea
Q4688044;Guerra aérea na Guerra de Inverno
Q348120;Guerra anfíbia
Q1073579;guerra antissubmarino
Q316936;guerra antitanque
Q8242560;guerra biológica
Q1608736;guerra cambial
Q8465;guerra civil
Q10292596;Guerra Civil no Chipre
Q2659056;guerra colonial
Q692412;Guerra comercial
Q429245;guerra convencional
Q3480226;Guerra cultural
Q911036;guerra da informação
Q1348385;guerra da sucessão
Q474138;guerra de agressão
Q752646;Guerra de Aniquilação
Q232777;Guerra de duas frentes
Q831550;guerra de exaustão
Q1437482;guerra de formatos
Q21994376;guerra de independência
Q1006311;guerra de libertação nacional
Q6653224;Guerra de litoral
Q88222;guerra de túnel
Q2454921;Guerra e armamento da Antiguidade
Q71266556;guerra e conflitos armados
Q2296073;Guerra econômica
Q272826;guerra eletrónica
Q4379451;Guerra em clima frio
Q5376043;guerra endêmica
Q1190578;Guerra espacial
Q11682252;Guerra expedicionária
Q4176199;guerra fria
Q8683;Guerra Fria
Q5953349;Guerra Híbrida
Q131543987;Guerra híbrida russa
Q568312;guerra mecanizada
Q1348131;Guerra Moderna
Q103495;guerra mundial
Q655045;guerra na idade média
Q2454605;Guerra na Pré-História
Q1342628;guerra não convencional
Q7883019;guerra não declarada
Q876274;guerra naval
Q201424;guerra nuclear
Q17143698;guerra panfletária
Q7225141;Guerra política
Q864113;guerra por procuração
Q969619;guerra preventiva
Q163698;guerra psicológica
Q483610;guerra química
Q3512464;Guerra radiológica
Q1827102;guerra religiosa
Q13573188;guerra santa
Q1119089;guerra submarina irrestrita
Q11682254;Guerra suja
Q1190472;Guerra terrestre
Q154605;guerra total
Q860251;guerra urbana
Q2490042;Guerras de religião na Europa
Q1758829;guerrilha urbana
Q2889695;guillotine choke
Q10379715;Gulesh
Q4845233;hadaka jime
Q15898861;Han Kuang Exercise
Q26885514;hard case
Q2707048;hardcore wrestling
Q123924201;Hardpoint
Q260690;hare hunting
Q63466832;health scandal
Q11482422;Heike mokkanryō
Q2089968;Hell in a Cell
Q1545104;Henschel Hs 117
Q5736070;Herbicidal warfare
Q160598;heresia
Q16050150;Herz-9
Q64796768;High Court of Australia case
Q48817613;high explosive nuclear effects testing
Q3780403;high-altitude nuclear explosion
Q5629656;high-to-medium air defence
Q5759962;highway revolt
Q21070764;highway revolts in the United States
Q193814;Hinaiana
Q491502;hip hop rivalry
Q20988259;HISAR
Q17112061;history of professional wrestling
Q4040282;HN-5
Q1474788;holmgang
Q125545102;Holocaust by bullets
Q12364047;Holocaust in Pärnu
Q61927259;Holocaust train journey
Q2763;Holocausto
Q1867101;Holocausto na Bélgica
Q2278817;Holocausto na Holanda
Q1752358;Holocausto na Lituânia
Q2587808;Holocausto na Polônia
Q4499410;Holocausto na Ucrânia
Q18486913;Hong Qi
Q11926032;honor regalis
Q1525203;honour
Q61060197;hooliganism i Denmark
Q219954;hooliganismo
Q23036198;hostage-rescue mission
Q18487144;HQ-1
Q17032968;HQ-10
Q4040299;HQ-12
Q4040298;HQ-16
Q104036493;HQ-17
Q18487157;HQ-2
Q60850345;HQ-26
Q2599549;HQ-61
Q4040300;HQ-64
Q1152032;HQ-7
Q169261;HQ-9
Q3752418;Huelga a la japonesa
Q5936738;human-baiting
Q124150517;human-carnivore conflict
Q5936811;human–wildlife conflict
Q5955729;hyena-baiting
Q124042044;hypothetical war
Q1151655;IDAS
Q85850751;Identicide
Q3442035;identity cleansing
Q104741931;ideological rivalry
Q10299828;Idjassú
Q112073322;Igbo Traditional Wrestling (Mgba)
Q8191556;ikki
Q947533;Ikko-ikki
Q131917674;ilhad
Q17122930;impasse
Q41086;Impasse mexicano
Q480498;impeachment
Q3731370;Impeachment in Norway
Q4340041;impeachment in Russia
Q105320378;Impeachment in South Africa
Q17003182;Impeachment in the Philippines
Q55262446;Impeachment in Ukraine
Q25422198;impeachment no Brasil
Q3149408;Impeachment no Reino Unido
Q1949797;impeachment nos Estados Unidos
Q1456466;Imposição da paz
Q6014004;Inbuan wrestling
Q11371169;incident
Q705043;Incident of 1873
Q133865830;India-Bangladesh border clashes
Q864874;Indian Ballistic Missile Defence Programme
Q104386849;Indigo
Q3532270;indoor bullfighting
Q628191;industrial action
Q2290702;Industrial warfare
Q91679040;infantry command
Q63101742;infantry warfare
Q18600568;Information Operations
Q118575041;inquisitorial ＆ adversarial system
Q25113091;Institutionalized Riot Systems
Q1323212;insurgência
Q2996100;intactivismo
Q5974529;intelligence, surveillance, target acquisition, and reconnaissance
Q331435;interdição aérea
Q6046081;interdiction
Q115364762;interest dispute
Q15820262;intergroup conflict
Q109311521;internal armed conflict
Q10860599;internal conflict
Q11422542;international conflict
Q118279225;international tensions
Q9813868;interpersonal conflict
Q2661982;interstellar war
Q5919191;intervenção armada
Q16140900;intervenções militares de Cuba
Q1753200;Intifada
Q15820347;intragroup conflict
Q467011;invasão
Q2086638;invasions in Europe
Q6061147;invisible class empire
Q6578437;Iran and state-sponsored terrorism
Q135287525;Iranian influence operations in the UK
Q112855977;Işık
Q31070346;Israel e o terrorismo patrocinado pelo Estado
Q97451722;Israeli Central Elections Committee Chairperson decision
Q98517089;Israeli criminal procedure
Q97451302;Israeli district court decision
Q97451648;Israeli magistrate court decision
Q16987800;jackal coursing
Q708992;Japanese history textbook controversies
Q17051901;Japanese military operations other than war
Q110760892;Japanese naval bombardments of North America during World War II
Q1347944;Javelin
Q15914667;Jehovah's Witnesses and the Trinity
Q6190126;Jewish schisms
Q133467573;Jiang Qiulian v. Liu Nuanxi (former Liu Xin)
Q11458054;jisha-honjo-ryō
Q11458058;jisha-ryō
Q3324182;Judaism and Mormonism
Q85821037;judgment of the Constitutional Court of South Africa
Q9283157;Juicio de residencia
Q4116621;Julgamento do século
Q120330450;July 2023 Tel Aviv attack
Q1190467;jungle warfare
Q3771751;Justiça política
Q12581288;K-SAAM
Q562998;K-SAM Pegasus
Q3174923;Kale borroka
Q4041963;KAN Little Joe
Q11732882;KAN-1
Q11625866;kani basami
Q12814843;Kanly
Q195986;Kansetsu waza
Q11655959;Kantō gobunkoku
Q11655961;Kantō goryō
Q11656004;Kantō shinshi shoryō
Q691366;KAPAP
Q6368153;Karakucak
Q11499675;katakiuchi
Q196431;katame waza
Q113510224;Kazakh Kuresi
Q4207613;Kazakh wrestling
Q108113361;Kene
Q11455594;keryō
Q3641667;Khmer traditional wrestling
Q65195759;Khordad 15
Q4357683;Khuresh
