country_iso3;biome;share_pct
SUR;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
SVK;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
SVN;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
SWE;Temperate Conifer / Boreal Forests (Taiga);100.0
SWZ;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
SWZ;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
SXM;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
SYC;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
SYR;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
TCD;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
TGO;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
THA;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
TJK;Temperate Conifer / Boreal Forests (Taiga);100.0
TKM;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
TLS;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
TON;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
TTO;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
TUN;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
TUR;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
TUV;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
TWN;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
TZA;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
UGA;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
UKR;Temperate Conifer / Boreal Forests (Taiga);100.0
URY;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
USA;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
UZB;Temperate Conifer / Boreal Forests (Taiga);100.0
VCT;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
VCT;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
VEN;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
VNM;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
VUT;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
WSM;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
YEM;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
YEM;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
ZAF;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
ZAF;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
ZAF;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
ZMB;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
ZWE;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
