type_qid;type_label;root_qid;root_label
Q4111554;Amateur Pankration;Q180684;military conflict
Q5928045;Ambivalência;Q180684;military conflict
Q17149403;American military operations other than war;Q645883;civil conflict
Q3354924;amphibious military operation;Q645883;civil conflict
Q4748201;amphibious reconnaissance;Q180684;military conflict
Q194465;anexação;Q180684;military conflict
Q388924;Anexo:Lista de batalhas na série de livros As Crônicas de Nárnia;Q180684;military conflict
Q12230894;Anglican Communion sexual abuse cases;Q180684;military conflict
Q30323964;animal-baiting;Q180684;military conflict
Q4771217;Antelope air defence system;Q180684;military conflict
Q28668602;anti-aircraft grenade launcher;Q180684;military conflict
Q86739852;anti-aircraft warfare;Q180684;military conflict
Q4774129;anti-Catholic riots;Q180684;military conflict
Q11517839;anti-Chinese riots;Q180684;military conflict
Q19950013;Anti-Francoist urban guerrilla;Q180684;military conflict
Q13538715;Anti-Habsburg uprisings;Q180684;military conflict
Q13538715;Anti-Habsburg uprisings;Q350604;battle
Q247735;Anti-Jewish pogroms in the Russian Empire;Q180684;military conflict
Q11079230;anti-missionary riot in China;Q180684;military conflict
Q15466187;anti-nuclear protest;Q180684;military conflict
Q4774420;anti-nuclear protests in the United States;Q180684;military conflict
Q2334946;anti-psychiatry in Netherlands;Q180684;military conflict
Q47657138;Anti-Russian rebellions;Q180684;military conflict
Q47657138;Anti-Russian rebellions;Q350604;battle
Q107722568;Anti-ship weapons;Q180684;military conflict
Q1964176;anti-U-boat operations;Q645883;civil conflict
Q582667;antipsiquiatria;Q180684;military conflict
Q584205;antitrinitarismo;Q180684;military conflict
Q61221204;antitrust case;Q180684;military conflict
Q3696223;Anza (míssil);Q180684;military conflict
Q7234541;Apologia do nazismo;Q180684;military conflict
Q5400540;Arabian Gauntlet;Q645883;civil conflict
Q12835951;Aratan;Q180684;military conflict
Q131751107;arbitration case;Q180684;military conflict
Q4788547;area bombardment;Q180684;military conflict
Q4788547;area bombardment;Q645883;civil conflict
Q4788547;area bombardment;Q350604;battle
Q108323073;Argentinian genocide;Q180684;military conflict
Q83922;arianismo;Q180684;military conflict
Q24936119;Arianismo na Hispânia;Q180684;military conflict
Q664017;Arianização;Q180684;military conflict
Q4792474;Arm triangle choke;Q180684;military conflict
Q1418029;Armas combinadas;Q645883;civil conflict
Q350604;armed conflict;Q180684;military conflict
Q350604;armed conflict;Q350604;battle
Q3267933;armed struggle;Q180684;military conflict
Q880637;armored reconnaissance;Q180684;military conflict
Q15517541;army co-operation;Q645883;civil conflict
Q131627884;Arrow;Q645883;civil conflict
Q5363532;Arrow 3;Q180684;military conflict
Q136462954;artificial intelligence controversies;Q180684;military conflict
Q4070286;artillery offensive;Q180684;military conflict
Q4070286;artillery offensive;Q645883;civil conflict
Q4070286;artillery offensive;Q350604;battle
Q2497090;artillery preparation;Q645883;civil conflict
Q2865836;artivismo;Q180684;military conflict
Q4804181;asentamiento;Q180684;military conflict
Q16533779;asonada;Q180684;military conflict
Q16533779;asonada;Q350604;battle
Q4654336;ASRAD-HELLAS;Q180684;military conflict
Q939087;Assalto aéreo;Q645883;civil conflict
Q115892552;Assassination of Majid Sharif-Vaghefi;Q645883;civil conflict
Q115791837;Assassination of Rockwell International personnel in Tehran;Q645883;civil conflict
Q2206565;assédio judicial;Q180684;military conflict
Q747354;Aster;Q180684;military conflict
Q30588142;ataque de drone;Q180684;military conflict
Q30588142;ataque de drone;Q645883;civil conflict
Q30588142;ataque de drone;Q350604;battle
Q123513446;Ataque de tiro duplo;Q180684;military conflict
Q123513446;Ataque de tiro duplo;Q645883;civil conflict
Q123513446;Ataque de tiro duplo;Q350604;battle
Q1470138;ataque militar;Q180684;military conflict
Q1470138;ataque militar;Q645883;civil conflict
Q1470138;ataque militar;Q350604;battle
Q127260330;Ataques aéreos à Ucrânia de 8 de julho de 2024;Q180684;military conflict
Q127260330;Ataques aéreos à Ucrânia de 8 de julho de 2024;Q645883;civil conflict
Q127260330;Ataques aéreos à Ucrânia de 8 de julho de 2024;Q350604;battle
Q721668;Ataques aéreos de luta profissional;Q180684;military conflict
Q756540;Atlantic pockets;Q180684;military conflict
Q756540;Atlantic pockets;Q350604;battle
Q98607365;atmospheric nuclear test;Q645883;civil conflict
Q12840408;attack;Q645883;civil conflict
Q127325186;Attacks against computer networks;Q180684;military conflict
Q127325186;Attacks against computer networks;Q645883;civil conflict
Q127325186;Attacks against computer networks;Q350604;battle
Q508284;Attacks on North America during World War II;Q180684;military conflict
Q508284;Attacks on North America during World War II;Q645883;civil conflict
Q508284;Attacks on North America during World War II;Q350604;battle
Q115902065;attempted assassination of Morteza Samadieh-Labbaf;Q645883;civil conflict
Q4460509;auto-golpe;Q180684;military conflict
Q786766;autogenocide;Q180684;military conflict
Q24931116;Avar raids;Q645883;civil conflict
Q11762688;Aviation Assault;Q180684;military conflict
Q3815060;backflip kick;Q180684;military conflict
Q1779477;Backyard wrestling;Q180684;military conflict
Q4840830;Badger-baiting;Q180684;military conflict
Q20105468;Balearic privateering;Q180684;military conflict
Q795400;BALTOPS;Q645883;civil conflict
Q17100946;Bambule;Q180684;military conflict
Q2882324;Bandido;Q180684;military conflict
Q1317135;Barak 1;Q180684;military conflict
Q16695097;Barak 8;Q180684;military conflict
Q304860;barragem;Q180684;military conflict
Q106506622;barróg;Q180684;military conflict
Q28068509;baseball choke;Q180684;military conflict
Q18120972;Bashkir Uprisings;Q180684;military conflict
Q18120972;Bashkir Uprisings;Q350604;battle
Q810704;bataireacht;Q180684;military conflict
Q178561;batalha;Q180684;military conflict
Q178561;batalha;Q178561;rebellion
Q178561;batalha;Q645883;civil conflict
Q178561;batalha;Q350604;battle
Q743488;batalha campal;Q180684;military conflict
Q743488;batalha campal;Q178561;rebellion
Q743488;batalha campal;Q645883;civil conflict
Q743488;batalha campal;Q350604;battle
Q15047343;batalha da Guerra do Paraguai;Q180684;military conflict
Q15047343;batalha da Guerra do Paraguai;Q178561;rebellion
Q15047343;batalha da Guerra do Paraguai;Q645883;civil conflict
Q15047343;batalha da Guerra do Paraguai;Q350604;battle
Q7578135;Batalha espiritual;Q180684;military conflict
Q1261499;batalha naval;Q180684;military conflict
Q1261499;batalha naval;Q178561;rebellion
Q1261499;batalha naval;Q645883;civil conflict
Q1261499;batalha naval;Q350604;battle
Q15991159;Batalhas da Idade Média;Q180684;military conflict
Q15991159;Batalhas da Idade Média;Q178561;rebellion
Q15991159;Batalhas da Idade Média;Q645883;civil conflict
Q15991159;Batalhas da Idade Média;Q350604;battle
Q2890633;Battle of the Queens;Q180684;military conflict
Q3241463;battle royal;Q180684;military conflict
Q14944691;battle royal;Q180684;military conflict
Q1075565;Battles of Beleriand;Q180684;military conflict
Q2630136;battles of Osgiliath during the War of the Ring;Q180684;military conflict
Q18370757;battles of the Fellowship of the Ring;Q180684;military conflict
Q3637155;beach wrestling;Q180684;military conflict
Q11656574;bear fighting;Q180684;military conflict
Q2041094;Bear-baiting;Q180684;military conflict
Q131765225;Beit Sahour tax strike;Q180684;military conflict
Q815747;Bell X-9 Shrike;Q180684;military conflict
Q2093039;Belt-and-jacket;Q180684;military conflict
Q4886918;bench-clearing brawl;Q180684;military conflict
Q4903270;Biblical Unitarianism;Q180684;military conflict
Q5728153;Bici Crítica of Madrid;Q180684;military conflict
Q1971764;Big boot;Q180684;military conflict
Q11656589;bird fighting;Q180684;military conflict
Q119061362;bird song competition;Q180684;military conflict
Q3394581;black operation;Q645883;civil conflict
Q43305506;black operations of CIA;Q645883;civil conflict
Q122694725;Blacklist Campaign;Q180684;military conflict
Q12195269;bloodless coup d'état;Q180684;military conflict
Q4927953;bloodless war;Q198;war
Q4927953;bloodless war;Q180684;military conflict
Q4927953;bloodless war;Q350604;battle
Q273976;bloqueio;Q645883;civil conflict
Q1959141;bloqueio naval;Q645883;civil conflict
Q774960;Blowpipe;Q180684;military conflict
Q48810523;Boar-baiting;Q180684;military conflict
Q4931439;boardroom coup;Q180684;military conflict
Q120197854;Boateng v. National Media Commission and Another;Q180684;military conflict
Q9182943;bój;Q180684;military conflict
Q9182943;bój;Q178561;rebellion
Q9182943;bój;Q645883;civil conflict
Q9182943;bój;Q350604;battle
Q4939425;Boli Khela;Q180684;military conflict
Q2380335;bombardeamento aéreo;Q180684;military conflict
Q17912683;Bombardeamento aéreo;Q180684;military conflict
Q2380335;bombardeamento aéreo;Q645883;civil conflict
Q17912683;Bombardeamento aéreo;Q645883;civil conflict
Q2380335;bombardeamento aéreo;Q350604;battle
Q17912683;Bombardeamento aéreo;Q350604;battle
Q4688003;bombardeamento aéreo de uma cidade;Q180684;military conflict
Q4688003;bombardeamento aéreo de uma cidade;Q645883;civil conflict
Q4688003;bombardeamento aéreo de uma cidade;Q350604;battle
Q15212263;Bombardeamento de Berlim;Q180684;military conflict
Q15212263;Bombardeamento de Berlim;Q645883;civil conflict
Q15212263;Bombardeamento de Berlim;Q350604;battle
Q841418;bombardeio estratégico;Q180684;military conflict
Q841418;bombardeio estratégico;Q645883;civil conflict
Q841418;bombardeio estratégico;Q350604;battle
Q1422289;bombardeio tático;Q180684;military conflict
Q1422289;bombardeio tático;Q645883;civil conflict
Q1422289;bombardeio tático;Q350604;battle
Q715695;Bombardeios estratégicos durante a Segunda Guerra Mundial;Q180684;military conflict
Q715695;Bombardeios estratégicos durante a Segunda Guerra Mundial;Q645883;civil conflict
Q715695;Bombardeios estratégicos durante a Segunda Guerra Mundial;Q350604;battle
Q678146;bombardment;Q180684;military conflict
Q678146;bombardment;Q645883;civil conflict
Q678146;bombardment;Q350604;battle
Q107637520;border conflict;Q180684;military conflict
Q107637520;border conflict;Q350604;battle
Q42750320;border incident;Q180684;military conflict
Q42750320;border incident;Q350604;battle
Q22944244;borroka;Q180684;military conflict
Q107238090;botched military raid;Q645883;civil conflict
Q188257;bottom procedure;Q180684;military conflict
Q895266;Bous a la mar;Q180684;military conflict
Q898242;Brandschatten;Q645883;civil conflict
Q1709241;brawling;Q180684;military conflict
Q6857782;British military operations other than war;Q645883;civil conflict
Q11545912;buke-ryō;Q180684;military conflict
Q812983;bull-baiting;Q180684;military conflict
Q20107343;Bullangues;Q645883;civil conflict
Q3001425;bullfighting festival;Q180684;military conflict
Q19844197;bullfighting in New Spain;Q180684;military conflict
Q32024778;Bullfighting in the Community of Madrid;Q180684;military conflict
Q4997163;Bultong;Q180684;military conflict
Q1670655;Bundeswehr Panzertruppen;Q180684;military conflict
Q4997896;Buno;Q180684;military conflict
Q131702251;BYD Slavery-Like Conditions Controversy in Brazil;Q180684;military conflict
Q60846342;CA-94;Q180684;military conflict
Q109595168;calf slicer;Q180684;military conflict
Q5026800;camisado;Q180684;military conflict
Q5026800;camisado;Q645883;civil conflict
Q2935206;Camp for Climate Action;Q180684;military conflict
Q831663;campanha militar;Q180684;military conflict
Q831663;campanha militar;Q645883;civil conflict
Q831663;campanha militar;Q350604;battle
Q65061153;campus protest;Q180684;military conflict
Q1715416;Canarian wrestling;Q180684;military conflict
Q2937260;Capea;Q180684;military conflict
Q90573599;Capeas de Segura de León;Q180684;military conflict
Q18480501;Capeia arraiana;Q180684;military conflict
Q88456792;Capelado;Q180684;military conflict
Q2126793;CARAT;Q645883;civil conflict
Q838364;carpet bombing;Q180684;military conflict
Q838364;carpet bombing;Q645883;civil conflict
Q838364;carpet bombing;Q350604;battle
Q5046123;carriage dispute;Q180684;military conflict
Q1045072;carrier onboard delivery;Q645883;civil conflict
Q907950;case;Q180684;military conflict
Q13513031;Case Dutroux;Q180684;military conflict
Q129837193;case filed at administrative authorities in mainland China;Q180684;military conflict
Q133274088;Cases filed in courts in Beijing;Q180684;military conflict
Q133441595;Cases filed with police of mainland China;Q180684;military conflict
Q133441065;cases from mainland China;Q180684;military conflict
Q106179662;Casino Battle Royale;Q180684;military conflict
Q2055205;caso arquivado;Q180684;military conflict
Q21044347;Caso corpesca;Q180684;military conflict
Q16738832;caso criminal;Q180684;military conflict
Q16057981;Caso de aborto de menina brasileira em 2009;Q180684;military conflict
Q749501;Caso Plame-Wilson;Q180684;military conflict
Q5050921;casualty evacuation;Q180684;military conflict
Q18482565;Catástrofe demográfica;Q180684;military conflict
Q2408025;catch wrestling;Q180684;military conflict
Q616762;catfight;Q180684;military conflict
Q5053315;Catholic Church sexual abuse cases in France;Q180684;military conflict
Q3210851;Catholic sexual abuse cases in Canada;Q180684;military conflict
Q2823677;cause of action;Q180684;military conflict
Q5392931;cavalry raid;Q180684;military conflict
Q5392931;cavalry raid;Q178561;rebellion
Q5392931;cavalry raid;Q645883;civil conflict
Q5392931;cavalry raid;Q350604;battle
Q112765787;central trial;Q180684;military conflict
Q1110236;Centro de gravidade (militar);Q180684;military conflict
Q1110236;Centro de gravidade (militar);Q645883;civil conflict
Q1110236;Centro de gravidade (militar);Q350604;battle
Q188055;cerco;Q180684;military conflict
Q188055;cerco;Q645883;civil conflict
Q188055;cerco;Q350604;battle
Q2337039;channel conflict;Q180684;military conflict
Q30637971;Chanter v Blackwood;Q180684;military conflict
Q172336;chave de braço;Q180684;military conflict
Q4380025;Chave de braço;Q180684;military conflict
Q615518;Chegas de Touros;Q180684;military conflict
Q25696027;Chelishish;Q180684;military conflict
Q118930816;chemical/biological warfare;Q180684;military conflict
Q1070938;Chevauchée;Q645883;civil conflict
Q4515707;Chidaoba;Q180684;military conflict
Q111207998;Chidaoba;Q180684;military conflict
Q109041057;Child sexual abuse in the diocese of Luçon;Q180684;military conflict
Q95252032;child sexual abuse scandal;Q180684;military conflict
Q6857776;Chinese military operations other than war;Q645883;civil conflict
Q4499038;Cholera Riots;Q180684;military conflict
Q118072761;Christomonism;Q180684;military conflict
Q5116922;Church of Jesus Christ Restored 1830;Q180684;military conflict
Q7497152;Chute na canela;Q180684;military conflict
Q7988539;CIA Tibetan program;Q645883;civil conflict
Q849340;ciberguerra;Q180684;military conflict
Q781894;CIM-10 Bomarc;Q180684;military conflict
Q41521;cisma;Q180684;military conflict
Q65083733;cisma;Q180684;military conflict
Q126325378;cisma do Islã;Q180684;military conflict
Q126287984;cisma religioso;Q180684;military conflict
Q127512667;civil conflict;Q180684;military conflict
Q133467586;civil dispute;Q180684;military conflict
Q133467577;Civil disputes in mainland China;Q180684;military conflict
Q10706788;civil matter;Q180684;military conflict
Q107614552;claim for restitution of an artwork;Q180684;military conflict
Q3354903;clandestine operation;Q645883;civil conflict
Q79084310;clash;Q180684;military conflict
Q2783852;class action;Q180684;military conflict
Q11659309;Class actions;Q180684;military conflict
Q116004037;climate protest;Q180684;military conflict
Q122955400;climate strike;Q180684;military conflict
Q130704399;coal strike;Q180684;military conflict
Q123593345;cognitive warfare;Q198;war
Q123593345;cognitive warfare;Q180684;military conflict
Q123593345;cognitive warfare;Q350604;battle
Q21971240;Cold War Europe;Q180684;military conflict
Q108392871;Cold War in Asia;Q180684;military conflict
Q3682694;Collar-and-elbow;Q180684;military conflict
Q136486544;collective grievance;Q180684;military conflict
Q5146995;collegiate wrestling;Q180684;military conflict
Q104872632;Colonialism and genocide;Q180684;military conflict
Q1047607;Colonização espanhola da América;Q180684;military conflict
Q16271678;Colos;Q180684;military conflict
Q2164772;combat air patrol;Q645883;civil conflict
Q681969;Combat de Reines;Q180684;military conflict
Q1696856;Combat reenactment;Q180684;military conflict
Q11303148;Combat Wrestling;Q180684;military conflict
Q650711;combate;Q180684;military conflict
Q15041854;Combate aproximado;Q180684;military conflict
Q602507;combate corpo a corpo;Q180684;military conflict
Q1102423;combate em ambientes confinados;Q180684;military conflict
Q1505845;Comboios do Ártico;Q180684;military conflict
Q1505845;Comboios do Ártico;Q350604;battle
Q19609158;comício;Q180684;military conflict
Q25810859;command post exercise;Q645883;civil conflict
Q986676;commerce raiding;Q180684;military conflict
Q5153280;Common Anti-Air Modular Missile;Q180684;military conflict
Q131621892;commune;Q180684;military conflict
Q131621892;commune;Q350604;battle
Q2379628;communication with submarines;Q180684;military conflict
Q27791637;Communist insurgency in the Philippines;Q180684;military conflict
Q27791637;Communist insurgency in the Philippines;Q350604;battle
Q2614462;company campaigning;Q180684;military conflict
Q22084970;concerns and controversies at the 2020 Summer Olympics;Q180684;military conflict
Q108570112;concerns and controversies at the 2020 Summer Paralympics;Q180684;military conflict
Q101142288;conflict incident;Q180684;military conflict
Q5160197;Conflict of marriage laws;Q180684;military conflict
Q180684;conflito;Q180684;military conflict
Q5683226;conflito ambiental;Q180684;military conflict
Q16146546;Conflito civil nas Filipinas;Q180684;military conflict
Q16146546;Conflito civil nas Filipinas;Q350604;battle
Q2912528;conflito comercial;Q180684;military conflict
Q14395607;conflito congelado;Q180684;military conflict
Q14395607;conflito congelado;Q350604;battle
Q5193269;conflito cultural;Q180684;military conflict
Q369799;conflito de baixa intensidade;Q180684;military conflict
Q766875;conflito étnico;Q180684;military conflict
Q105071637;conflito fundiário;Q180684;military conflict
Q5153967;Conflito intercomunitário;Q180684;military conflict
Q1502007;conflito intergeracional;Q180684;military conflict
Q1334080;Conflito Pais-Filhos;Q180684;military conflict
Q2870014;Conflito sectário no Iraque;Q180684;military conflict
Q2672648;conflito social;Q180684;military conflict
Q8035179;Conflitos entre trabalho e família;Q180684;military conflict
Q9848046;Conflitos na Indonésia;Q180684;military conflict
Q1136021;Confrontos fronteiriços entre Bangladesh e Índia em 2001;Q180684;military conflict
Q1136021;Confrontos fronteiriços entre Bangladesh e Índia em 2001;Q350604;battle
Q1361229;Conquista militar;Q645883;civil conflict
Q1374897;consumer boycott;Q180684;military conflict
Q6024878;consumer revolt;Q180684;military conflict
Q122889179;consumer rights controversy;Q180684;military conflict
Q105499756;contempt of court proceedings;Q180684;military conflict
Q10080014;Contestador fiscal;Q180684;military conflict
Q17144660;Contra ofensiva do ar;Q180684;military conflict
Q2329143;contra-ataque;Q645883;civil conflict
Q125956566;Contragolpe;Q180684;military conflict
Q1255828;controvérsia;Q180684;military conflict
Q545170;"Controvérsia ""Garotos são estúpidos, joguem pedras neles!""";Q180684;military conflict
Q122584592;Controvérsia filosófica;Q180684;military conflict
Q19396147;controversial invention;Q180684;military conflict
Q300945;Controvérsias de South Park;Q180684;military conflict
Q5111484;Controvérsias do Natal;Q180684;military conflict
Q2033227;Controvérsias em torno de Mortal Kombat;Q180684;military conflict
Q123685131;controvérsias envolvendo a Nestlé;Q180684;military conflict
Q23037921;controvérsias envolvendo a psiquiatria;Q180684;military conflict
Q2575667;controvérsias sobre os ogm;Q180684;military conflict
Q50377401;controversies of Xi Jinping;Q180684;military conflict
Q1044852;controversies surrounding Call of Duty: Modern Warfare 2;Q180684;military conflict
Q121815942;controversies surrounding Genshin Impact;Q180684;military conflict
Q5165996;controversies surrounding Grand Theft Auto IV;Q180684;military conflict
Q19867757;controversies surrounding Grand Theft Auto V;Q180684;military conflict
Q115868941;controversies surrounding the Saudi Arabian Grand Prix;Q180684;military conflict
Q112663;Controversies surrounding Yasukuni Shrine;Q180684;military conflict
Q118118221;controversy between Lunar New Year and Chinese New Year;Q180684;military conflict
Q84056433;controversy surrounding the 2019–20 Wuhan coronavirus outbreak;Q180684;military conflict
Q107304919;Coors strike and boycott;Q180684;military conflict
Q123550907;copyright legal case;Q180684;military conflict
Q60963472;cordão sanitário;Q180684;military conflict
Q4354339;Cornish wrestling;Q180684;military conflict
Q1770766;Correbous;Q180684;military conflict
Q2997943;corrida de rejón;Q180684;military conflict
Q1778149;Corsa camarguenca;Q180684;military conflict
Q3773159;Cosmologia Mórmon;Q180684;military conflict
Q5175752;Cotton diplomacy;Q180684;military conflict
Q81859300;counter-celebration;Q180684;military conflict
Q58815974;counter-demonstration;Q180684;military conflict
Q5176896;counter-offensive;Q180684;military conflict
Q5176896;counter-offensive;Q645883;civil conflict
Q5176896;counter-offensive;Q350604;battle
Q5176895;counter-protest;Q180684;military conflict
Q1047367;counter-terrorist operation;Q645883;civil conflict
Q4231697;counterattack;Q645883;civil conflict
Q109471870;country in World War I;Q180684;military conflict
Q109473326;country in World War II;Q180684;military conflict
Q5177950;county seat war;Q180684;military conflict
Q1418066;Coup de main;Q645883;civil conflict
Q135557561;Coupvolution;Q180684;military conflict
Q830090;Course landaise;Q180684;military conflict
Q114148658;Cradle Suplex;Q180684;military conflict
Q5185258;crime control;Q180684;military conflict
Q1266971;Crime de pensamento;Q180684;military conflict
Q16667597;Crimean–Circassian wars;Q198;war
Q16667597;Crimean–Circassian wars;Q180684;military conflict
Q16667597;Crimean–Circassian wars;Q350604;battle
Q4249087;criminal cases against supporters of Yulia Tymoshenko;Q180684;military conflict
Q60845736;criminal law case;Q180684;military conflict
Q146071;criminal procedure;Q180684;military conflict
Q5791104;crise diplomática;Q180684;military conflict
Q15857791;crisis of conscience;Q180684;military conflict
Q94588406;Critical Mass Barcelona;Q180684;military conflict
Q107635454;Critical Mass Berlin;Q180684;military conflict
Q107636079;Critical Mass Cologne;Q180684;military conflict
Q87412854;Critical Mass Hamburg;Q180684;military conflict
Q12322991;critical psychiatry;Q180684;military conflict
Q10262032;Críticas à doutrina da Trindade;Q180684;military conflict
Q21213422;Criticism of SpongeBob SquarePants;Q180684;military conflict
Q21213326;Criticism of The Simpsons;Q180684;military conflict
Q94590779;Criticona;Q180684;military conflict
Q111165597;Crusades against Christians;Q180684;military conflict
Q111165597;Crusades against Christians;Q645883;civil conflict
Q111165597;Crusades against Christians;Q350604;battle
Q115898880;Crusades against vice;Q180684;military conflict
Q12546;Cruzada;Q180684;military conflict
Q12546;Cruzada;Q645883;civil conflict
Q12546;Cruzada;Q350604;battle
Q48734726;Cruzadas populares;Q180684;military conflict
Q48734726;Cruzadas populares;Q645883;civil conflict
Q48734726;Cruzadas populares;Q350604;battle
Q79083864;cultural clash;Q180684;military conflict
Q3123011;cultural genocide;Q180684;military conflict
